id,genre,path
tt1258972,Action,posters/tt1258972.jpg
tt2828840,Action,posters/tt2828840.jpg
tt2825924,Action,posters/tt2825924.jpg
tt2706264,Action,posters/tt2706264.jpg
tt2359006,Action,posters/tt2359006.jpg
tt0929742,Action,posters/tt0929742.jpg
tt1956697,Action,posters/tt1956697.jpg
tt1395025,Action,posters/tt1395025.jpg
tt0266697,Action,posters/tt0266697.jpg
tt0091815,Action,posters/tt0091815.jpg
tt0780595,Action,posters/tt0780595.jpg
tt0997167,Action,posters/tt0997167.jpg
tt0098158,Action,posters/tt0098158.jpg
tt0103776,Action,posters/tt0103776.jpg
tt0104215,Action,posters/tt0104215.jpg
tt0101481,Action,posters/tt0101481.jpg
tt0097987,Action,posters/tt0097987.jpg
tt3144098,Action,posters/tt3144098.jpg
tt0089243,Action,posters/tt0089243.jpg
tt2016940,Action,posters/tt2016940.jpg
tt2344678,Action,posters/tt2344678.jpg
tt2437954,Action,posters/tt2437954.jpg
tt2367996,Action,posters/tt2367996.jpg
tt2887322,Action,posters/tt2887322.jpg
tt1907639,Action,posters/tt1907639.jpg
tt0101587,Comedy,posters/tt0101587.jpg
tt0101862,Comedy,posters/tt0101862.jpg
tt0103241,Comedy,posters/tt0103241.jpg
tt0100087,Comedy,posters/tt0100087.jpg
tt0103035,Comedy,posters/tt0103035.jpg
tt0100611,Comedy,posters/tt0100611.jpg
tt0099316,Comedy,posters/tt0099316.jpg
tt0100301,Comedy,posters/tt0100301.jpg
tt0102303,Comedy,posters/tt0102303.jpg
tt0103015,Comedy,posters/tt0103015.jpg
tt0101757,Comedy,posters/tt0101757.jpg
tt0103007,Comedy,posters/tt0103007.jpg
tt0099342,Comedy,posters/tt0099342.jpg
tt0099305,Comedy,posters/tt0099305.jpg
tt0100899,Comedy,posters/tt0100899.jpg
tt0100708,Comedy,posters/tt0100708.jpg
tt0094907,Comedy,posters/tt0094907.jpg
tt0095047,Comedy,posters/tt0095047.jpg
tt0100684,Comedy,posters/tt0100684.jpg
tt0101660,Comedy,posters/tt0101660.jpg
tt0104187,Comedy,posters/tt0104187.jpg
tt0102849,Comedy,posters/tt0102849.jpg
tt0102558,Comedy,posters/tt0102558.jpg
tt0103128,Comedy,posters/tt0103128.jpg
tt0103850,Comedy,posters/tt0103850.jpg
tt0085750,Horror,posters/tt0085750.jpg
tt2505856,Horror,posters/tt2505856.jpg
tt0087746,Horror,posters/tt0087746.jpg
tt0085159,Horror,posters/tt0085159.jpg
tt0085780,Horror,posters/tt0085780.jpg
tt1457767,Horror,posters/tt1457767.jpg
tt0093777,Horror,posters/tt0093777.jpg
tt0091415,Horror,posters/tt0091415.jpg
tt1499302,Horror,posters/tt1499302.jpg
tt0091707,Horror,posters/tt0091707.jpg
tt0096340,Horror,posters/tt0096340.jpg
tt0095179,Horror,posters/tt0095179.jpg
tt2109184,Horror,posters/tt2109184.jpg
tt1650537,Horror,posters/tt1650537.jpg
tt1560985,Horror,posters/tt1560985.jpg
tt1536044,Horror,posters/tt1536044.jpg
tt0844289,Horror,posters/tt0844289.jpg
tt0489244,Horror,posters/tt0489244.jpg
tt0454841,Horror,posters/tt0454841.jpg
tt0420294,Horror,posters/tt0420294.jpg
tt0105428,Horror,posters/tt0105428.jpg
tt0104409,Horror,posters/tt0104409.jpg
tt0472186,Horror,posters/tt0472186.jpg
tt0099395,Horror,posters/tt0099395.jpg
tt0097388,Horror,posters/tt0097388.jpg
tt0098347,Drama,posters/tt0098347.jpg
tt0098112,Drama,posters/tt0098112.jpg
tt0098330,Drama,posters/tt0098330.jpg
tt0098638,Drama,posters/tt0098638.jpg
tt1630036,Drama,posters/tt1630036.jpg
tt1198156,Drama,posters/tt1198156.jpg
tt0085461,Drama,posters/tt0085461.jpg
tt0086216,Drama,posters/tt0086216.jpg
tt1562568,Drama,posters/tt1562568.jpg
tt1233334,Drama,posters/tt1233334.jpg
tt1684628,Drama,posters/tt1684628.jpg
tt0098335,Drama,posters/tt0098335.jpg
tt0097607,Drama,posters/tt0097607.jpg
tt0098659,Drama,posters/tt0098659.jpg
tt0097490,Drama,posters/tt0097490.jpg
tt0098631,Drama,posters/tt0098631.jpg
tt1582248,Drama,posters/tt1582248.jpg
tt0466893,Drama,posters/tt0466893.jpg
tt1915551,Drama,posters/tt1915551.jpg
tt0097458,Drama,posters/tt0097458.jpg
tt0097567,Drama,posters/tt0097567.jpg
tt1723811,Drama,posters/tt1723811.jpg
tt1554091,Drama,posters/tt1554091.jpg
tt1321860,Drama,posters/tt1321860.jpg
tt0100691,Drama,posters/tt0100691.jpg
tt2187972,Romance,posters/tt2187972.jpg
tt1260565,Romance,posters/tt1260565.jpg
tt0444840,Romance,posters/tt0444840.jpg
tt0432290,Romance,posters/tt0432290.jpg
tt3173910,Romance,posters/tt3173910.jpg
tt2784678,Romance,posters/tt2784678.jpg
tt2870756,Romance,posters/tt2870756.jpg
tt2582846,Romance,posters/tt2582846.jpg
tt2239832,Romance,posters/tt2239832.jpg
tt1086772,Romance,posters/tt1086772.jpg
